symbol,month,strike,right,conid
FXI,20251226,,call,829440961
FXI,20251226,,put,829451444
FXI,20251231,,call,751961127
FXI,20251231,,put,751962155
FXI,20260116,,call,675419751
FXI,20260116,,put,675419868
FXI,20260102,,call,831160940
FXI,20260102,,put,831169227
FXI,20260109,,call,835135551
FXI,20260109,,put,835143262
FXI,20260123,,call,836852392
FXI,20260123,,put,836860812
FXI,20260130,,call,838372662
FXI,20260130,,put,838384944
FXI,20260220,,call,762291121
FXI,20260220,,put,762293171
FXI,20260320,,call,769162469
FXI,20260320,,put,769162550
FXI,20260331,,call,775046193
FXI,20260331,,put,775052901
FXI,20260417,,call,777416320
FXI,20260417,,put,777417226
FXI,20260515,,call,784619664
FXI,20260515,,put,784622488
FXI,20260618,,call,783283131
FXI,20260618,,put,783284742
FXI,20260630,,call,796110770
FXI,20260630,,put,796111878
FXI,20260717,,call,798568034
FXI,20260717,,put,798569717
FXI,20260821,,call,806062643
FXI,20260821,,put,806064706
FXI,20260918,,call,829840469
FXI,20260918,,put,829840537
FXI,20260930,,call,819181458
FXI,20260930,,put,819187676
FXI,20261016,,call,822534537
FXI,20261016,,put,822542618
FXI,20261120,,call,830144703
FXI,20261120,,put,830153955
FXI,20261218,,call,829840622
FXI,20261218,,put,829840701
FXI,20270115,,call,730727969
FXI,20270115,,put,730728037
FXI,20280121,,call,816968236
FXI,20280121,,put,816977151
