conid,delta,iv,bid,ask
799985183,0.134,0.242,,2.3
799985064,0.429,0.23,0.75,1.15
832859420,-0.966,0.321,1.6,4.4
832859145,0.003,0.371,,0.3
823385051,-0.97,0.23399999999999999,7.8,11.4
799985507,-0.865,0.23,2.45,5.7
839257643,0.907,0.23399999999999999,4.4,8.4
832858974,0.478,0.33399999999999996,0.05,0.85
832859305,-0.524,0.33399999999999996,0.05,2.3
832859547,-1.0,0.368,6.6,8.0
839258213,0.739,0.18100000000000002,1.05,3.8
839258178,0.88,0.22,3.4,7.6
823384761,-0.473,0.185,0.55,4.5
839874861,-0.878,0.215,1.45,4.2
799985468,-0.804,0.217,1.5,4.7
823384880,-0.74,0.22,3.3,6.8
832859094,0.015,0.33,,0.3
839874624,0.095,0.223,,0.35
832859373,-0.885,0.32299999999999995,0.55,3.8
832859014,0.274,0.331,0.1,0.4
839258201,0.804,0.18899999999999997,1.65,4.6
799984948,0.786,0.377,3.0,6.2
839874478,0.758,0.247,1.0,2.8
823384531,0.239,0.225,,3.2
839874751,-0.245,0.247,0.3,0.5
799985231,-0.216,0.377,,2.45
823384496,0.288,0.22,,3.3
799985084,0.318,0.21600000000000003,,2.6
839874836,-0.774,0.215,0.7,3.1
839874799,-0.493,0.222,0.05,1.75
832859485,-1.0,0.35,3.6,6.5
832859124,0.006,0.35,,0.3
832859520,-1.0,0.371,4.6,8.1
832858954,0.695,0.326,0.9,1.4
799985126,0.232,0.217,0.35,0.6
823384302,0.656,0.18,0.35,4.7
839874444,0.827,0.275,1.85,3.6
823384384,0.48,0.19399999999999998,0.05,4.2
799985363,-0.476,0.258,0.3,3.5
839874681,-0.107,0.358,,0.65
823384782,-0.555,0.19399999999999998,1.1,4.9
823384429,0.406,0.203,0.05,4.0
823384945,-0.842,0.22699999999999998,5.0,8.8
839874724,-0.174,0.275,,0.9
832859071,0.044,0.321,,0.3
823384823,-0.625,0.203,1.65,5.3
832859232,-0.129,0.314,,0.65
799984969,0.741,0.35,2.2,5.5
839874610,0.154,0.215,,0.45
823384673,0.103,0.23399999999999999,,2.9
799985533,-0.911,0.242,3.4,6.6
839874576,0.249,0.215,,0.65
799985013,0.619,0.292,0.65,4.0
823384714,-0.384,0.18,0.15,4.2
832859182,0.001,0.368,,0.3
832858891,0.952,0.33299999999999996,1.55,3.3
832859345,-0.73,0.331,0.15,1.85
832858930,0.871,0.314,0.55,2.35
839258256,-0.298,0.18100000000000002,,2.2
839874422,0.868,0.315,2.4,4.6
823385016,-0.935,0.23,6.8,10.5
839874706,-0.133,0.315,,0.75
799985391,-0.584,0.23,1.65,4.0
839874821,-0.64,0.217,0.5,2.55
823384844,-0.686,0.213,2.45,6.3
832859454,-0.998,0.33,2.6,5.5
839258244,-0.228,0.18899999999999997,,2.0
839258241,-0.178,0.203,,1.6
839874555,0.374,0.217,0.05,1.0
799985039,0.534,0.258,0.05,3.3
799985435,-0.708,0.21600000000000003,0.75,4.0
799985153,0.176,0.23,,2.35
839874398,0.893,0.358,3.5,6.8
799985276,-0.262,0.35,,2.55
823384618,0.125,0.23,,0.55
823384457,0.343,0.213,0.05,1.25
823384578,0.195,0.22699999999999998,,3.1
823384976,-0.89,0.228,6.1,9.4
839874360,0.922,0.381,4.5,7.7
839258235,-0.142,0.22,,1.4
799985568,-0.975,0.235,4.5,7.6
832859208,-0.048,0.33299999999999996,,0.55
799985289,-0.318,0.324,,1.8
839874641,-0.078,0.381,,0.6
823384346,0.565,0.185,1.7,2.35
839874884,-0.945,0.223,2.4,5.5
799984993,0.686,0.324,1.4,4.6
823384904,-0.791,0.225,4.2,7.9
839874524,0.516,0.222,0.05,1.5
832859031,0.122,0.32299999999999995,,0.3
839258218,-0.111,0.23399999999999999,,1.25
832859278,-0.306,0.326,0.1,0.85
839258189,0.849,0.203,2.5,6.7
799985333,-0.387,0.292,0.05,3.0
799985213,0.085,0.235,0.1,0.2
839874774,-0.355,0.231,,1.45
823384595,0.157,0.228,,3.0
839874495,0.65,0.231,0.3,2.05
