conid,maturity_date,strike,right,delta,iv,bid,ask
832859208,2026-01-16,34.0,P,-0.048,0.33299999999999996,,0.55
832858891,2026-01-16,34.0,C,0.952,0.33299999999999996,1.55,3.3
832859232,2026-01-16,35.0,P,-0.129,0.314,,0.65
832858930,2026-01-16,35.0,C,0.871,0.314,0.55,2.35
832859278,2026-01-16,36.0,P,-0.306,0.326,0.1,0.85
832858954,2026-01-16,36.0,C,0.695,0.326,0.9,1.4
832859305,2026-01-16,37.0,P,-0.524,0.33399999999999996,0.05,2.3
832858974,2026-01-16,37.0,C,0.478,0.33399999999999996,0.05,0.85
832859345,2026-01-16,38.0,P,-0.73,0.331,0.15,1.85
832859014,2026-01-16,38.0,C,0.274,0.331,0.1,0.4
832859373,2026-01-16,39.0,P,-0.885,0.32299999999999995,0.55,3.8
832859031,2026-01-16,39.0,C,0.122,0.32299999999999995,,0.3
832859420,2026-01-16,40.0,P,-0.966,0.321,1.6,4.4
832859071,2026-01-16,40.0,C,0.044,0.321,,0.3
832859454,2026-01-16,41.0,P,-0.998,0.33,2.6,5.5
832859094,2026-01-16,41.0,C,0.015,0.33,,0.3
832859485,2026-01-16,42.0,P,-1.0,0.35,3.6,6.5
832859124,2026-01-16,42.0,C,0.006,0.35,,0.3
832859520,2026-01-16,43.0,P,-1.0,0.371,4.6,8.1
832859145,2026-01-16,43.0,C,0.003,0.371,,0.3
832859547,2026-01-16,44.0,P,-1.0,0.368,6.6,8.0
832859182,2026-01-16,44.0,C,0.001,0.368,,0.3
839874641,2026-02-20,31.0,P,-0.078,0.381,,0.6
839874360,2026-02-20,31.0,C,0.922,0.381,4.5,7.7
839874681,2026-02-20,32.0,P,-0.107,0.358,,0.65
839874398,2026-02-20,32.0,C,0.893,0.358,3.5,6.8
839874706,2026-02-20,33.0,P,-0.133,0.315,,0.75
839874422,2026-02-20,33.0,C,0.868,0.315,2.4,4.6
839874724,2026-02-20,34.0,P,-0.174,0.275,,0.9
839874444,2026-02-20,34.0,C,0.827,0.275,1.85,3.6
839874751,2026-02-20,35.0,P,-0.245,0.247,0.3,0.5
839874478,2026-02-20,35.0,C,0.758,0.247,1.0,2.8
839874774,2026-02-20,36.0,P,-0.355,0.231,,1.45
839874495,2026-02-20,36.0,C,0.65,0.231,0.3,2.05
839874799,2026-02-20,37.0,P,-0.493,0.222,0.05,1.75
839874524,2026-02-20,37.0,C,0.516,0.222,0.05,1.5
839874821,2026-02-20,38.0,P,-0.64,0.217,0.5,2.55
839874555,2026-02-20,38.0,C,0.374,0.217,0.05,1.0
839874836,2026-02-20,39.0,P,-0.774,0.215,0.7,3.1
839874576,2026-02-20,39.0,C,0.249,0.215,,0.65
839874861,2026-02-20,40.0,P,-0.878,0.215,1.45,4.2
839874610,2026-02-20,40.0,C,0.154,0.215,,0.45
839874884,2026-02-20,41.0,P,-0.945,0.223,2.4,5.5
839874624,2026-02-20,41.0,C,0.095,0.223,,0.35
799985231,2026-03-20,33.0,P,-0.216,0.377,,2.45
799984948,2026-03-20,33.0,C,0.786,0.377,3.0,6.2
799985276,2026-03-20,34.0,P,-0.262,0.35,,2.55
799984969,2026-03-20,34.0,C,0.741,0.35,2.2,5.5
799985289,2026-03-20,35.0,P,-0.318,0.324,,1.8
799984993,2026-03-20,35.0,C,0.686,0.324,1.4,4.6
799985333,2026-03-20,36.0,P,-0.387,0.292,0.05,3.0
799985013,2026-03-20,36.0,C,0.619,0.292,0.65,4.0
799985363,2026-03-20,37.0,P,-0.476,0.258,0.3,3.5
799985039,2026-03-20,37.0,C,0.534,0.258,0.05,3.3
799985391,2026-03-20,38.0,P,-0.584,0.23,1.65,4.0
799985064,2026-03-20,38.0,C,0.429,0.23,0.75,1.15
799985435,2026-03-20,39.0,P,-0.708,0.21600000000000003,0.75,4.0
799985084,2026-03-20,39.0,C,0.318,0.21600000000000003,,2.6
799985468,2026-03-20,40.0,P,-0.804,0.217,1.5,4.7
799985126,2026-03-20,40.0,C,0.232,0.217,0.35,0.6
799985507,2026-03-20,41.0,P,-0.865,0.23,2.45,5.7
799985153,2026-03-20,41.0,C,0.176,0.23,,2.35
799985533,2026-03-20,42.0,P,-0.911,0.242,3.4,6.6
799985183,2026-03-20,42.0,C,0.134,0.242,,2.3
799985568,2026-03-20,43.0,P,-0.975,0.235,4.5,7.6
799985213,2026-03-20,43.0,C,0.085,0.235,0.1,0.2
839258218,2026-06-18,31.0,P,-0.111,0.23399999999999999,,1.25
839257643,2026-06-18,31.0,C,0.907,0.23399999999999999,4.4,8.4
839258235,2026-06-18,32.0,P,-0.142,0.22,,1.4
839258178,2026-06-18,32.0,C,0.88,0.22,3.4,7.6
839258241,2026-06-18,33.0,P,-0.178,0.203,,1.6
839258189,2026-06-18,33.0,C,0.849,0.203,2.5,6.7
839258244,2026-06-18,34.0,P,-0.228,0.18899999999999997,,2.0
839258201,2026-06-18,34.0,C,0.804,0.18899999999999997,1.65,4.6
839258256,2026-06-18,35.0,P,-0.298,0.18100000000000002,,2.2
839258213,2026-06-18,35.0,C,0.739,0.18100000000000002,1.05,3.8
823384714,2026-06-18,36.0,P,-0.384,0.18,0.15,4.2
823384302,2026-06-18,36.0,C,0.656,0.18,0.35,4.7
823384761,2026-06-18,37.0,P,-0.473,0.185,0.55,4.5
823384346,2026-06-18,37.0,C,0.565,0.185,1.7,2.35
823384782,2026-06-18,38.0,P,-0.555,0.19399999999999998,1.1,4.9
823384384,2026-06-18,38.0,C,0.48,0.19399999999999998,0.05,4.2
823384823,2026-06-18,39.0,P,-0.625,0.203,1.65,5.3
823384429,2026-06-18,39.0,C,0.406,0.203,0.05,4.0
823384844,2026-06-18,40.0,P,-0.686,0.213,2.45,6.3
823384457,2026-06-18,40.0,C,0.343,0.213,0.05,1.25
823384880,2026-06-18,41.0,P,-0.74,0.22,3.3,6.8
823384496,2026-06-18,41.0,C,0.288,0.22,,3.3
823384904,2026-06-18,42.0,P,-0.791,0.225,4.2,7.9
823384531,2026-06-18,42.0,C,0.239,0.225,,3.2
823384945,2026-06-18,43.0,P,-0.842,0.22699999999999998,5.0,8.8
823384578,2026-06-18,43.0,C,0.195,0.22699999999999998,,3.1
823384976,2026-06-18,44.0,P,-0.89,0.228,6.1,9.4
823384595,2026-06-18,44.0,C,0.157,0.228,,3.0
823385016,2026-06-18,45.0,P,-0.935,0.23,6.8,10.5
823384618,2026-06-18,45.0,C,0.125,0.23,,0.55
823385051,2026-06-18,46.0,P,-0.97,0.23399999999999999,7.8,11.4
823384673,2026-06-18,46.0,C,0.103,0.23399999999999999,,2.9
